trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.18, 'e': 1.0}",20,0,-81.87917882248706,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.18, 'e': 0.9960079893439915}",20,0,-84.84736118793184,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.18, 'e': 0.9920319148370607}",25,0,-48.93317547953213,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.18, 'e': 0.9880717128619305}",25,2,-56.448590520054985,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 0}",1
5,False,"{'a': 0.18, 'e': 0.9841273200552851}",25,0,-140.26953376636422,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.18, 'e': 0.9801986733067553}",20,0,-48.742611117714944,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.18, 'e': 0.9762857097579093}",25,0,-96.67696787896705,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.18, 'e': 0.9723883668012469}",20,0,-177.32590569336568,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
9,False,"{'a': 0.18, 'e': 0.9685065820791976}",30,0,-151.37389463021321,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.18, 'e': 0.9646402934831231}",30,11,-23.05632342391723,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.18, 'e': 0.9607894391523232}",20,0,-60.316251209495064,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.18, 'e': 0.9569539574730467}",25,0,-51.15173252609688,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.18, 'e': 0.9531337870775047}",20,0,-140.0495795005801,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.18, 'e': 0.9493288668428895}",30,0,-200.9371542337784,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.18, 'e': 0.9455391358903963}",35,0,-45.19559987177417,"{0: 26, 1: 3, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.18, 'e': 0.9417645335842487}",35,0,-124.81786495121595,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.18, 'e': 0.9380049995307295}",25,0,-134.073840195136,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.18, 'e': 0.9342604735772135}",20,0,-28.572985519611805,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.18, 'e': 0.9305308958112057}",20,0,-106.6670095048099,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
