trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,11,-57.04983623589983,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.05043380648931,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.79029235124528,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.8464444508854,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.85915824322834,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.40603360024298,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.03146988176702,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.3196721335132,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.14636445947063,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.67670207115276,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.77995213221746,"{0: 10, 1: 6, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.62786359399674,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.83356668725973,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.3570287714228,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.53740846918089,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.0130261699255,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,9,-90.41289501990843,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.26716825190482,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-267.65585881299296,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.36858124931706,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-219.5987697580761,"{0: 11, 1: 1, 2: 1, 3: 3, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.99787044939683,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,10.188270794000921,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-206.45897767764842,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.65417221593212,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.36111555094794,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.66382148866754,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.4057386312346,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,14,-41.84709967770545,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.399969925761475,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
